modelo,tipo,acuracia,precisao,recall,f1,t_treino_s,seed
SVM (RBF),clássico,0.75,0.7368421052631571,0.777777777777777,0.756756756756756,0.0014126099999880002,0
Random Forest,clássico,0.805555555555555,0.8235294117647051,0.777777777777777,0.8,0.288972752000063,0
QSVC (kernel quântico),quântico,0.6944444444444441,0.7058823529411761,0.6666666666666661,0.685714285714285,35.99793178499999,0
VQC (variacional),quântico,0.555555555555555,0.5714285714285711,0.44444444444444403,0.5,36.303038238,0
SVM (RBF),clássico,0.75,0.8,0.6666666666666661,0.7272727272727271,0.0014651500000580002,1
Random Forest,clássico,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.295878807000008,1
QSVC (kernel quântico),quântico,0.9166666666666661,0.9411764705882351,0.8888888888888881,0.914285714285714,33.650298679,1
VQC (variacional),quântico,0.611111111111111,0.75,0.33333333333333304,0.461538461538461,34.88849711499995,1
SVM (RBF),clássico,0.7222222222222221,0.9,0.5,0.642857142857142,0.001282388000049,2
Random Forest,clássico,0.805555555555555,0.866666666666666,0.7222222222222221,0.7878787878787871,0.30346126099993803,2
QSVC (kernel quântico),quântico,0.777777777777777,0.9166666666666661,0.611111111111111,0.7333333333333331,34.31994138699997,2
VQC (variacional),quântico,0.611111111111111,0.642857142857142,0.5,0.5625,34.66631307900002,2
SVM (RBF),clássico,0.833333333333333,1.0,0.6666666666666661,0.8,0.0015952549999830002,7
Random Forest,clássico,0.833333333333333,0.8,0.8888888888888881,0.842105263157894,0.297435231999998,7
QSVC (kernel quântico),quântico,0.833333333333333,0.8,0.8888888888888881,0.842105263157894,33.75793783400002,7
VQC (variacional),quântico,0.44444444444444403,0.45454545454545403,0.555555555555555,0.5,34.42800510899997,7
SVM (RBF),clássico,0.777777777777777,1.0,0.555555555555555,0.7142857142857141,0.0013150380000290002,13
Random Forest,clássico,0.75,0.846153846153846,0.611111111111111,0.7096774193548381,0.296345632999987,13
QSVC (kernel quântico),quântico,0.8888888888888881,0.9375,0.833333333333333,0.8823529411764701,33.50653489700005,13
VQC (variacional),quântico,0.6388888888888881,0.7272727272727271,0.44444444444444403,0.551724137931034,34.94859269599988,13
SVM (RBF),clássico,0.75,1.0,0.5,0.6666666666666661,0.0015613200000640002,21
Random Forest,clássico,0.833333333333333,0.875,0.777777777777777,0.8235294117647051,0.29751033499996904,21
QSVC (kernel quântico),quântico,0.805555555555555,0.7619047619047611,0.8888888888888881,0.82051282051282,35.2548550219999,21
VQC (variacional),quântico,0.583333333333333,0.6666666666666661,0.33333333333333304,0.44444444444444403,36.43684572799998,21
SVM (RBF),clássico,0.6388888888888881,0.7272727272727271,0.44444444444444403,0.551724137931034,0.001459170999851,42
Random Forest,clássico,0.75,0.8,0.6666666666666661,0.7272727272727271,0.29737067500013803,42
QSVC (kernel quântico),quântico,0.861111111111111,0.9333333333333331,0.777777777777777,0.8484848484848481,36.15929224399997,42
VQC (variacional),quântico,0.777777777777777,0.8571428571428571,0.6666666666666661,0.75,36.93399027800001,42
SVM (RBF),clássico,0.6388888888888881,0.6923076923076921,0.5,0.5806451612903221,0.0015205140000480002,99
Random Forest,clássico,0.805555555555555,0.7894736842105261,0.833333333333333,0.8108108108108101,0.29351933599991703,99
QSVC (kernel quântico),quântico,0.8888888888888881,0.9375,0.833333333333333,0.8823529411764701,35.127630097000065,99
VQC (variacional),quântico,0.47222222222222204,0.48,0.6666666666666661,0.55813953488372,36.20974792700008,99
